"","FIPS","YEAR","POP"
"778","19047","1980",18944
"779","19049","1980",29514
"780","19051","1980",9117
"781","19053","1980",9795
"782","19055","1980",18937
"783","19057","1980",46233
"784","19059","1980",15628
"785","19061","1980",93774
"786","19063","1980",13340
"787","19065","1980",25432
"788","19067","1980",19570
"789","19069","1980",13020
"790","19071","1980",9382
"791","19073","1980",12098
"792","19075","1980",14343
"793","19077","1980",11969
"794","19079","1980",17874
"795","19081","1980",13811
"796","19083","1980",21777
"797","19085","1980",16326
"798","19087","1980",18891
"799","19089","1980",11103
"800","19091","1980",12247
"801","19093","1980",8914
"802","19095","1980",15437
"803","19097","1980",22487
"804","19099","1980",36386
"805","19101","1980",16279
"806","19103","1980",82191
"807","19105","1980",20383
"808","19107","1980",12901
"809","19109","1980",21842
"810","19111","1980",43048
"811","19113","1980",169738
"812","19115","1980",12082
"813","19117","1980",10315
"814","19119","1980",12884
"815","19121","1980",12586
"816","19123","1980",22832
"817","19125","1980",29733
"818","19127","1980",41728
"819","19129","1980",13443
"820","19131","1980",12299
"821","19133","1980",11665
"822","19135","1980",9200
"823","19137","1980",13413
"824","19139","1980",40589
"825","19141","1980",16990
"826","19143","1980",8356
"827","19145","1980",19053
"828","19147","1980",12724
"829","19149","1980",24803
"830","19151","1980",11337
"831","19153","1980",303763
"832","19155","1980",86610
"833","19157","1980",19316
"834","19159","1980",6118
"835","19161","1980",14107
"836","19163","1980",160203
"837","19165","1980",15017
"838","19167","1980",30816
"839","19169","1980",72509
"840","19171","1980",19508
"841","19173","1980",8355
"842","19175","1980",13866
"843","19177","1980",8633
"844","19179","1980",40222
"845","19181","1980",34940
"846","19183","1980",20166
"847","19185","1980",8190
"848","19187","1980",45910
"849","19189","1980",12956
"850","19191","1980",21916
"851","19193","1980",101039
"852","19195","1980",9076
"853","19197","1980",16284
"854","20001","1980",15663
"855","20003","1980",8711
"856","20005","1980",18409
"857","20007","1980",6555
"858","20009","1980",31545
"859","20011","1980",15985
"860","20013","1980",11891
"861","20015","1980",45100
"862","20017","1980",3289
"863","20019","1980",5004
"864","20021","1980",22308
"865","20023","1980",3672
"866","20025","1980",2590
"867","20027","1980",9745
"868","20029","1980",12450
"869","20031","1980",9332
"870","20033","1980",2538
"871","20035","1980",36949
"872","20037","1980",38001
"873","20039","1980",4517
"874","20041","1980",20125
"875","20043","1980",9260
"876","20045","1980",68063
"877","20047","1980",4232
"878","20049","1980",3883
"879","20051","1980",26297
"880","20053","1980",6614
"881","20055","1980",24168
"882","20057","1980",24516
"883","20059","1980",22051
"884","20061","1980",30071
"885","20063","1980",3717
"886","20065","1980",3999
"887","20067","1980",6950
"888","20069","1980",5161
"889","20071","1980",1838
"890","20073","1980",8757
"891","20075","1980",2499
"892","20077","1980",7762
"893","20079","1980",30649
"894","20081","1980",3802
"895","20083","1980",2254
"896","20085","1980",11601
"897","20087","1980",15225
"898","20089","1980",5204
"899","20091","1980",271524
"900","20093","1980",3477
"901","20095","1980",8947
"902","20097","1980",4050
"903","20099","1980",25742
"904","20101","1980",2469
"905","20103","1980",55011
"906","20105","1980",4130
"907","20107","1980",8207
"908","20109","1980",3458
"909","20111","1980",35300
"910","20113","1980",26961
"911","20115","1980",13468
"912","20117","1980",12769
"913","20119","1980",4774
"914","20121","1980",21674
"915","20123","1980",8101
"916","20125","1980",42407
"917","20127","1980",6377
"918","20129","1980",3456
"919","20131","1980",11158
"920","20133","1980",19076
"921","20135","1980",4520
"922","20137","1980",6679
"923","20139","1980",15331
"924","20141","1980",5915
"925","20143","1980",5940
"926","20145","1980",8080
"927","20147","1980",7387
"928","20149","1980",14808
"929","20151","1980",10318
"930","20153","1980",4090
"931","20155","1980",65077
"932","20157","1980",7528
"933","20159","1980",11848
"934","20161","1980",63860
"935","20163","1980",7025
"936","20165","1980",4508
"937","20167","1980",8876
"938","20169","1980",49026
"939","20171","1980",5762
"940","20173","1980",368749
"941","20175","1980",17245
"942","20177","1980",155204
"943","20179","1980",3518
"944","20181","1980",7711
"945","20183","1980",5914
"946","20185","1980",5701
"947","20187","1980",2338
"948","20189","1980",4721
"949","20191","1980",25032
"950","20193","1980",8447
"951","20195","1980",4173
"952","20197","1980",6832
"953","20199","1980",2036
"954","20201","1980",8474
"955","20203","1980",3025
"956","20205","1980",12044
"957","20207","1980",4604
"958","20209","1980",172254
"959","21001","1980",15278
"960","21003","1980",14116
"961","21005","1980",12633
"962","21007","1980",8771
"963","21009","1980",34047
"964","21011","1980",10036
"965","21013","1980",34315
"966","21015","1980",46124
"967","21017","1980",19381
"968","21019","1980",55479
"969","21021","1980",25003
"970","21023","1980",7709
"971","21025","1980",17013
"972","21027","1980",16851
"973","21029","1980",43493
"974","21031","1980",11068
"975","21033","1980",13488
"976","21035","1980",30077
"977","21037","1980",83237
"978","21039","1980",5499
"979","21041","1980",9299
"980","21043","1980",25126
"981","21045","1980",14881
"982","21047","1980",66894
"983","21049","1980",28397
"984","21051","1980",22758
"985","21053","1980",9364
"986","21055","1980",9219
"987","21057","1980",7324
"988","21059","1980",86138
"989","21061","1980",9985
"990","21063","1980",6911
"991","21065","1980",14517
"992","21067","1980",204616
"993","21069","1980",12352
"994","21071","1980",48815
"995","21073","1980",42033
"996","21075","1980",8946
"997","21077","1980",4841
"998","21079","1980",10942
"999","21081","1980",13342
"1000","21083","1980",34154
"1001","21085","1980",20906
"1002","21087","1980",11058
"1003","21089","1980",39120
"1004","21091","1980",7748
"1005","21093","1980",88435
"1006","21095","1980",42009
"1007","21097","1980",15206
"1008","21099","1980",15361
"1009","21101","1980",40979
"1010","21103","1980",12764
"1011","21105","1980",6071
"1012","21107","1980",46296
"1013","21109","1980",12046
"1014","21111","1980",684300
"1015","21113","1980",26205
"1016","21115","1980",24501
"1017","21117","1980",137223
"1018","21119","1980",18004
"1019","21121","1980",30348
"1020","21123","1980",11899
"1021","21125","1980",39256
"1022","21127","1980",14154
"1023","21129","1980",7725
"1024","21131","1980",14904
"1025","21133","1980",30738
"1026","21135","1980",14580
"1027","21137","1980",19085
"1028","21139","1980",9227
"1029","21141","1980",24157
"1030","21143","1980",6509
"1031","21145","1980",61448
"1032","21147","1980",15682
"1033","21149","1980",10097
"1034","21151","1980",53464
"1035","21153","1980",13578
"1036","21155","1980",17917
"1037","21157","1980",25630
"1038","21159","1980",13978
"1039","21161","1980",17886
"1040","21163","1980",22951
"1041","21165","1980",5144
"1042","21167","1980",19041
"1043","21169","1980",9496
"1044","21171","1980",12377
"1045","21173","1980",20077
"1046","21175","1980",12138
"1047","21177","1980",32359
"1048","21179","1980",27645
"1049","21181","1980",7168
"1050","21183","1980",21741
"1051","21185","1980",27872
"1052","21187","1980",8927
"1053","21189","1980",5714
"1054","21191","1980",10984
"1055","21193","1980",33725
"1056","21195","1980",81180
"1057","21197","1980",11127
"1058","21199","1980",45962
"1059","21201","1980",2280
"1060","21203","1980",13987
"1061","21205","1980",19288
"1062","21207","1980",13790
"1063","21209","1980",21844
"1064","21211","1980",23385
"1065","21213","1980",14670
"1066","21215","1980",5934
"1067","21217","1980",21159
"1068","21219","1980",11845
"1069","21221","1980",9410
"1070","21223","1980",6254
"1071","21225","1980",17803
"1072","21227","1980",72430
"1073","21229","1980",10767
"1074","21231","1980",17072
"1075","21233","1980",14866
"1076","21235","1980",33465
"1077","21237","1980",6717
"1078","21239","1980",17804
"1079","22001","1980",56640
"1080","22003","1980",21392
"1081","22005","1980",50422
"1082","22007","1980",22216
"1083","22009","1980",41418
"1084","22011","1980",29841
"1085","22013","1980",16396
"1086","22015","1980",81294
"1087","22017","1980",252850
"1088","22019","1980",168060
"1089","22021","1980",10762
"1090","22023","1980",9407
"1091","22025","1980",12273
"1092","22027","1980",17244
"1093","22029","1980",23017
"1094","22031","1980",25853
"1095","22033","1980",368138
"1096","22035","1980",11702
"1097","22037","1980",19034
"1098","22039","1980",33489
"1099","22041","1980",24175
"1100","22043","1980",16774
"1101","22045","1980",64245
"1102","22047","1980",32192
"1103","22049","1980",17280
"1104","22051","1980",456072
"1105","22053","1980",32250
"1106","22055","1980",151414
"1107","22057","1980",83364
"1108","22059","1980",17028
"1109","22061","1980",39813
"1110","22063","1980",59381
"1111","22065","1980",15627
"1112","22067","1980",34788
"1113","22069","1980",39891
"1114","22071","1980",557756
"1115","22073","1980",139618
"1116","22075","1980",26103
"1117","22077","1980",24066
"1118","22079","1980",135396
"1119","22081","1980",10520
"1120","22083","1980",22197
"1121","22085","1980",25311
"1122","22087","1980",64433
"1123","22089","1980",37475
"1124","22091","1980",9812
"1125","22093","1980",21542
"1126","22095","1980",32261
"1127","22097","1980",84348
"1128","22099","1980",40467
"1129","22101","1980",64468
"1130","22103","1980",112018
"1131","22105","1980",81006
"1132","22107","1980",8474
"1133","22109","1980",94970
"1134","22111","1980",21179
"1135","22113","1980",48679
"1136","22115","1980",54231
"1137","22117","1980",44256
"1138","22119","1980",43650
"1139","22121","1980",19125
"1140","22123","1980",12949
"1141","22125","1980",12241
"1142","22127","1980",17290
"1143","23001","1980",99622
"1144","23003","1980",91224
"1145","23005","1980",216583
"1146","23007","1980",27523
"1147","23009","1980",41834
