"zone","mass_grand_t_10m2","mass_building_commercial_industrial","mass_building_commercial_innercity","mass_building_highrise","mass_building_lightweight","mass_building_multifamily","mass_building_singlefamily","mass_building_skyscraper","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
26,25586804,2291315.25,41455.703125,0,694229,219279.515625,3938892.25,0,7185169,527583.1875,1611.04992675781,2502465.5,3031664.5,32770.6875,187.662155151367,1976263.375,0,0,0,2009221.25,0,0,0,70409.9921875,9477443,0,5997.48583984375,14849.974609375,153293.34375,1988736.25,1614510.875,13360737,35516.58203125,0
27,28322768.75,3244926.03125,47686.5703125,0,1342279.3671875,1240795.046875,8270407.8125,0,14146095.875,172438.25,310203.5,1777218.0625,2259859.9375,5853.20166015625,0,270072.21875,0,0,0,275925.375,0,0,70936.875,61205.29296875,7862112.375,18875.55859375,482342.4375,12908.6418457031,647.634094238281,1297608.3125,1815686.125,11640842,18576.5561523438,0
28,24611390,2028050.39038086,132684.794189453,4204.8359375,735129.006835938,78965.76171875,3345042.2734375,0,6324084.4765625,289603.515625,43128.5438842773,1492337.22241211,1825070.22241211,30009.4853515625,0,1553329.09375,0,0,0,1583339.09375,0,0,64863.8271484375,86837.0004882812,8694635.6875,17259.5861816406,2892631.8984375,18314.5471191406,0,2560327.125,374058.0703125,14878871.625,169927.320983887,0
29,54452272,6928043.5,126875.078125,36375.98828125,2021471,1219217.5,19450612,0,29782586,294651.09375,208426.40625,6550797.5,7053874.5,26681.212890625,4222.0908203125,1108677.25,0,0,0,1139579.875,0,0,219025.59375,102330.8828125,8589099,58443.8203125,3050021,21582.306640625,201.320465087891,3003141.75,1413325.375,16476211,5766.91162109375,13296.576171875
30,13546444.9453125,1071715.47265625,14790.810546875,0,297995.755462646,34758.5389404297,3072514.74316406,0,4491775.94799805,88539.888671875,0,530907.305168152,619447.545402527,3293.60766601562,0,357242.8515625,0,0,0,360536.4609375,0,0,0,30380.791015625,5662006.9140625,0,0,6407.52856445312,0,957211.71875,1391823.30078125,8074672.5234375,26853.2495117188,0
31,20253666,2771482.25,6758.318359375,0,608441.6875,93296.7578125,5746947,0,9226960,19920.205078125,19358.279296875,1552864.5,1592143.25,0,0,376452.1875,0,0,0,376452.1875,0,0,0,84977.7734375,5601774.5,0,0,17922.4140625,204432.875,2114861.5,978984.8125,9058120,55176.12109375,0
32,14663749,1284134.03125,129.299621582031,0,859510.5625,133110.3984375,3411861.375,0,5688747,137595.93359375,3022.359375,526226.65625,666845.078125,2991.18206787109,22046.982421875,0,0,0,0,25038.1611328125,0,0,0,35971.4809570312,5794574.75,0,0,7586.63952636719,0,1223934.25,1198681.75,8283117.75,22362.455078125,0
33,13405196.5,408125.8125,33969.64453125,0,185805.1953125,54879.3046875,1751177.03125,0,2433951.3125,0,26551.220703125,300760.19921875,327311.33984375,49372.611328125,0,1171446.1875,0,0,0,1220815.921875,0,0,156055.216796875,77795.54296875,4658098.25,41524.65625,2920710.375,16407.6513671875,0,1122283.0625,391271.265625,9423099.5,38496.3837890625,477.579528808594
34,10874842.1875,630404.677734375,11094.6486816406,0,274436.384765625,42028.2587890625,2580239.96875,0,3538202.90625,44660.0078125,3442.95568847656,237920.17199707,286023.48449707,7852.04968261719,0,363178.73828125,0,0,0,371030.77734375,0,0,0,18516.7414550781,4513741.09375,0,0,3905.31466674805,0,1056672.421875,1068880.94140625,6679598.9375,17882.8592529297,0
35,11750681.125,1034018.16796875,495.116065979004,0,401563.890625,30256.6794433594,1983474.65625,0,3449807.15625,188580.875,3040.05126953125,401347.440917969,592968.347167969,1639.7158203125,0,468751.4375,0,0,0,470391.21875,0,0,0,4781.97717285156,4583414,0,0,1008.55334472656,285.470275878906,1477624.1484375,1164457.3671875,7237511.0625,5947.2822265625,0
