"state","grand_total_t_10m2","building_hard_lr","building_hard_mr","building_high","building_sky","building","building_wood_lr","building_wood_mr","other_airport","other_parking","other_remaining_impervious","other","rail_bridge","rail_other","rail_railway","rail_shinkansen","rail_subway_elevated","rail_subway_surface","rail_subway","rail","rail_tram","rail_tunnel","street_bridge_motorway","street_bridge_other","street_gravel","street_living_street","street_motorway_elevated","street_motorway","street_other_elevated","street_primary","street_secondary","street_tertiary","street","street_tunnel"
"JP_KS",607917315.320312,167149148.839844,147295020.921875,0,0,341646960.25,21280455.1368484,5922510.93649292,1514342.00939941,3511481.64233398,191237408.78125,196263618.546875,557068.997924805,0,622805.095703125,346964.98046875,0,0,0,5598319.64550781,3419.94604492188,4068003.56213379,29423.853515625,434632.916992188,164847.944641113,2159202.6171875,324.528015136719,3211564.71289062,4793.75062179565,7151507.5703125,6879638.73046875,43937075.3859863,64407664.5224609,434887.690429688
"JP_KY",456663472,76258738,114551298,583075.6875,0,249532712,41999634,16140397,58776.0390625,5797018.125,157304452,163160424,973709.515625,1755.69725799561,1042796.625,571846.75,0,10776.9892578125,1005274.5625,5135458.625,14.4539985656738,1529274.59375,278367.078125,417796.125,46750.9921875,109157.72265625,3070.21002197266,6596969.75,4608.04455566406,6939349.5,7058747.75,15678273.5,38835278,1702116.5625
"JP_ME",603794367.226562,140067370.833252,85875657.8014832,0,0,302088848.406982,64533238.2568588,11613084.6757812,64178.57421875,6022092.75195312,245708458.093018,251794765.843018,414366.439453125,2131.23913955688,964289.510513306,795500.40625,0,0,0,3645149.82301331,0,1468869.90625,272995.59375,538176.303466797,260784.282226562,1492407.19546509,3020.84899902344,8270890.625,5935.76723098755,5634862,5532074.5,23101278.0859375,46262891.8209534,1150458.53125
"JP_MG",817894034.5,165062737.5,195470555.203125,0,492818.59375,423107279.375,42447547.5078125,19633021.8789062,1258091.36523438,4691839.12304688,237605801.5625,243555946.0625,1933071.96508789,2259.42910575867,1107373.58496094,603250.762695312,39019.80859375,24943.087890625,801168.4375,8296920.71484375,0,3785855.22827148,456402.585205078,1262034.40185547,780315.542724609,2687171.15454102,5057.47472381592,18489253.0625,13919.4826126099,12952034.421875,8217063.76220703,96648741.8671875,142936557.375,1424381.14404297
"JP_MZ",432338059,110422935.875,98886732.25,0,57706.296875,248502243.5,25641556.375,13493154.328125,908943.0625,1997195.984375,148684848.5,151591045.75,144225.6953125,1462.13616943359,538823.025146484,0,0,0,0,995213.92578125,0,310699.845947266,47549.9545898438,310213.833984375,12298.0179443359,591133.763671875,524.44787979126,4251240.5625,3421.47576904297,2476543.921875,1228299.9309082,21892432.5146484,31249769.9550781,436103.05078125
"JP_NI",844542794.650696,161725758.368851,125148285.363281,0,0,381662742.689163,74103760.5117188,20685696.0375977,499948.5703125,6155894.25476074,296845859.953712,303501782.313087,2678361.3828125,635.51383972168,1874494.25,981608.96875,0,0,0,16372367.875,0,10837109.65625,545269.694091797,1844829.61105347,1127666.81640625,7348093.85375977,6028.75724220276,26762982.421875,20347.4171578884,17310279.4257812,15490554.46875,68413386.3911133,143003322.234375,4134025.02734375
"JP_NN",730904869.563477,140590053.15625,139140544.546875,0,0,387169204.3125,76982188.4082031,30455945.375,116232.337890625,7014370.94384766,283395768.53125,290525765.608887,1086200.63952637,669.768127441406,1641410.56640625,635090.6328125,0,0,0,8933468.75,0,5570014.0390625,63355.3291015625,605235.45123291,354900.052734375,932534.700683594,699.22797203064,7353098.796875,6675.39216995239,6644695.8057251,5302716.21289062,20717602.0625,44275419.5166626,2293684.8046875
"JP_NR",310431033.136719,64074311.7294922,70265986.7597656,0,0,175631015.800781,30820911.3147736,10470004,0,3076171.375,116027477.326172,119103653.326172,188693.79296875,431.474767684937,358342.421875,507913.5,0,0,0,1865460.625,0,810082.30859375,14772.861328125,142566.03515625,1638.5092010498,19392.7775878906,162.935970306396,3472649.125,1572.41879272461,2893894.625,1680387.25,4976565,13830423,626765.953125
"JP_NS",448931021.680725,85594469.0625,139639057.126984,0,27607.6875,264566811.81192,19886494.96875,19419419.5990105,797147.395019531,1203431.37347412,134726664.993805,136727168.493805,434970.337982178,1102.6951713562,443550.818847656,0,0,0,0,3387614.86474609,2735.63421630859,2505251.76953125,1312.12805175781,268446.620422363,112542.652587891,1801650.31384277,14.4720001220703,5953589.3984375,2960.80793976784,6763237.15625,3177651.58203125,25069972.671875,44247684.078125,1096137.6875
"JP_ON",292631627.339355,100609190.565674,88600297.1328125,0,0,189997248.690674,707267.638427734,80690.317024231,3211406.94873047,3223795.30541992,85739462.0871582,91620842.8371582,173861.870239258,3371.93920898438,2564.64794921875,0,0,0,0,196164.946777344,0,16366.0083007812,1249.02404785156,118212.288330078,47881.5537414551,84923.6283569336,13.7760009765625,923962.89453125,1303.81192302704,1419385.22851562,1871181.8515625,7864779.5625,12361374.6796875,28503.6557769775
