"zone","mass_grand_t_10m2","mass_building_ci","mass_building_dlr","mass_building_mixed","mass_building_sdr","mass_building","mass_building_traditional","mass_other_airport","mass_other_parking","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
35,29615309.7265625,116264.604446411,230446.211425781,496778.420166016,7096951.96875,10023344.0664062,2082920.73828125,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.17465209961,14918891.6523438,0,0,256.289100646973,1853236.25,430264.625,1657103.25,19591951.0273438,731016.34765625,0
36,20687115.5625,36210.87109375,54254.3661193848,143789.342895508,2126588.08984375,6107284.953125,3746465.234375,131273.53515625,3379.60961914062,134653.14453125,0,0,0,0,0,0,4585.72314453125,4585.72314453125,0,0,5138.37091064453,11213199.25,0,0,1083.71940612793,0,1013791.984375,1826000.875,14440551.6875,381296.47479248,0
37,6845123,11712.0263671875,63511.431640625,123627.150390625,2119158.59375,2662853.46875,344848.828125,0,1136.23828125,1136.23828125,0,0,183664.46875,0,0,0,183664.46875,0,0,0,0,3400537.375,0,0,0,245214.546875,0,250847.875,3997458.875,100860.515625,0
38,14591718,102267.5625,126208.9453125,198001,4133492.75,7154099,2594119,0,7196.3662109375,7196.3662109375,0,0,398143.21875,0,0,0,398143.21875,0,0,0,25774.8671875,5383557.5,0,0,5436.10595703125,0,571524.5625,803237.9375,7032289.5,242768.890625,0
39,49997570.8126602,240681.714638233,173975.483154297,509306.03125,8756016.16699219,13731471.7067032,4051554.91886139,102793.359375,7507.39013671875,110300.74609375,0,114239.4609375,0,0,0,0,114239.4609375,0,0,0,19844.9951782227,24899465.5136719,0,0,4185.45025634766,2331561,1505215.5,6359386.0625,36041584.9873047,921894.763671875,0
40,5508011.06970215,35715.98046875,23670.8734054565,23308.146484375,288236.211883545,501194.169189453,130263.351394653,93817,0,93817,0,0,0,0,0,0,0,0,0,0,15470.9353637695,1931782.62884521,0,0,3262.93175506592,0,1070748.31640625,1782680.07397461,4912993.77532959,109084.489730835,0
41,6848573.5,13699.2568359375,3543.45532226562,1487.90490722656,257636.703125,1219241.875,942871.6875,41288.1796875,0,41288.1796875,0,0,0,0,0,0,0,0,0,0,14094.021484375,4239687.5,0,0,2972.53100585938,0,0,1230959.625,5588057,100346.921875,0
42,16278214.0566406,58842.3278808594,58439.0476074219,133026.768310547,3248528.93310547,4480385.96875,981563.969360352,0,682.541931152344,682.541931152344,0,93017.140625,0,0,0,0,93017.140625,0,0,0,2187.02807617188,8340647.90307617,0,0,461.259979248047,0,1054365.28125,1968770.35058594,11704126.0234375,337676.198791504,0
43,28169061.140625,99795.7194824219,102127.894104004,164733.593841553,4384489.16796875,8096879.04882812,3345748.33398438,0,0,0,0,232020.416015625,0,0,0,0,232020.416015625,0,0,0,23587.8361816406,14811806.6132812,0,0,4974.84609985352,0,1849283.59960938,2779601.875,19840159.1757812,370916.555297852,0
44,29532528.25,389910.5859375,378903.26171875,648484.466796875,8025335.25,10783488.875,1340869.640625,34374.34375,10368.2463378906,44742.5900878906,0,0,792908.171875,0,0,0,792908.171875,0,0,0,16767.6923599243,13524483.75,0,0,3536.42710494995,1323437.125,336869.46875,2408620.7265625,17911498,297811.203125,0
