"zone";"area_building_arco";"area_building_dcmix";"area_building_high";"area_building_irh";"area_building_light";"area_building_mlr";"area_building_sdr";"area_building_sky";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_cycleway";"area_street_exclude";"area_street_footway";"area_street_gravel";"area_street_living_street";"area_street_motorway_elevated";"area_street_motorway_link";"area_street_motorway";"area_street_other_elevated";"area_street_other";"area_street_pedestrian";"area_street_primary_link";"area_street_primary";"area_street_residential";"area_street_secondary_link";"area_street_secondary";"area_street_tertiary_link";"area_street_tertiary";"area_street_trunk_link";"area_street_trunk";"area_street_tunnel"
38;0;157536;15776;2366640;1109494;0;9431026;0;0;1258717;10729553;11406;103614;29208;653897;0;0;33630;8256;14114;66488;382063;35855;16276;72344;66943;0;66488;57971;35495;382063;371312;210;0;416691;1919760;0;125325;2307;254790;15441;97233;15670
39;0;473603;194263;609441;361198;0;3219307;0;3991;102336;2900655;81161;12962;1323;307017;54831;130590;96173;0;7227;0;97786;9783;5467;34587;4518;0;0;1961;0;97786;79823;2798;233;173648;828295;0;17359;173;29386;20187;102428;864
40;0;200470;35119;9792248;5726796;0;45585214;0;1811795;6855927;26701868;115595;1049026;176265;5630573;0;0;0;0;46038;184608;3079177;211017;2214781;2221596;3234933;53682;184970;367198;2035432;3079177;8354381;31304;60356;3177919;11289010;1798;1014094;6224;2975541;360361;3201519;13803
41;0;217108;16508;644206;524253;0;4661229;0;0;171136;3681581;27799;37866;4123;625593;0;67821;170494;0;13008;0;92079;40871;10978;30571;3764;683;0;776;1963;92079;100444;3941;499;169458;1129319;203;47959;164;73985;0;60395;172
42;0;141140;20301;410674;733957;0;6534308;0;0;314509;4383484;19717;23709;2109;359112;11252;228411;1000;0;3348;3451;83086;24666;8397;66026;8334;966;3451;4922;30789;83086;164567;2024;558;487208;1769373;0;859;0;187557;0;50534;321
43;0;95195;16578;1357999;458964;0;3562112;0;0;440089;4521375;4907;15505;3824;404187;0;0;0;0;0;0;173908;47210;18816;46527;19987;0;0;0;0;173908;247919;3626;604;79987;743750;0;28068;0;155149;9685;453239;0
44;0;163718;4780;1098357;682146;0;5874121;0;38019;771054;6383710;29521;3695;2266;663001;443;107230;0;0;6857;16855;143285;33641;8648;49301;8845;0;16855;21255;181103;143285;221480;2595;3153;221753;2090211;0;97816;0;262179;87443;318401;4759
45;0;136501;1734;2588270;1447926;0;10694848;0;130612;810873;5218931;25144;745835;39905;1267942;0;0;0;0;50027;10528;875265;53312;120109;355238;188250;0;10528;1448;12701;875265;2952391;4395;3266;787988;1025706;0;810978;0;1753427;3113;1605216;1476
46;0;351509;63049;6924516;3890978;0;33461826;0;251905;4422073;19698927;136908;364007;23972;4197984;3853;87161;1957;0;207209;204111;1488525;403750;868444;1811792;1459674;6849;205116;315741;2575108;1488525;5233865;26500;28213;2741342;10095510;3841;1064337;4874;2876440;175316;3435095;58819
47;0;163832;68460;2681614;927915;0;8117272;0;2870043;1564417;8453121;55940;19877;65111;710619;5165;313315;127446;0;198634;10613;264885;16869;38348;47516;33732;6237;10613;23277;33940;264885;317763;0;9878;280138;2223997;2029;49128;1502;294811;47154;175439;4052
48;0;106862;71169;1416938;677948;0;5912605;0;0;599250;5374542;27769;20144;4729;395923;14741;74451;21085;0;2518;68990;163885;25224;16760;161194;34580;3579;69230;12960;0;163885;322850;8378;662;249148;1703658;347;45706;0;119900;9114;133812;1223
49;0;85384;276;882966;790589;0;5493683;0;94300;1242653;2592433;3525;212018;7230;284343;0;0;0;0;15389;1329;303086;18699;91366;389857;539542;871;1329;0;0;303086;780358;5084;5431;748640;1336029;0;317829;544;397937;125;23965;41
50;0;780201;355421;264102;281514;0;2514959;0;0;96080;2361141;14005;62038;8325;408467;0;1989;141291;0;226848;0;59243;6784;6941;57279;3872;1283;0;0;4360;59243;209297;10618;1024;109617;528695;0;21389;0;71621;273;35963;988
51;0;812755;102652;186042;219904;0;1959373;0;0;70110;1705081;45379;15751;1259;140109;7685;41472;97102;0;7610;0;85454;3869;488;35936;2251;4781;0;0;0;85454;59761;4853;710;135995;499544;0;21349;0;28289;5638;81956;1038
52;0;628028;75546;10220527;6205014;0;46888327;0;1021399;5625445;35662437;262584;549815;417885;11073517;0;0;0;0;842798;173763;2930624;614029;750190;1688072;1121816;8628;173875;372808;3929752;2930624;9846190;46313;42933;4127684;11423595;10658;1292820;7250;4248362;567598;5894467;91874
53;0;376564;36184;2547850;623240;0;5443351;0;0;752930;5725124;15132;37793;1542;422104;0;0;0;0;0;3191;119258;79942;1481;56457;10645;0;3191;0;2822;119258;382287;7322;0;273287;1891192;0;73464;0;316705;54992;569513;242
54;0;11056;4562;391004;400838;0;3539460;0;3193;181510;2770474;15012;19284;1564;327117;0;0;0;0;0;0;77268;19188;24455;52854;23974;55;0;0;0;77268;148072;1683;2797;95235;1143758;0;21938;503;98660;13129;91101;390
55;0;362834;65866;393105;547879;0;4891863;0;0;105017;3620074;137063;49135;2711;469508;0;6798;176744;0;72456;0;37228;8731;1374;65061;3000;1712;0;0;1996;37228;209638;8156;1616;365490;1317056;0;18536;84;74685;0;120161;120
56;0;1417333;122046;13750321;5851738;0;47272066;0;492588;4388062;49385072;194220;825933;126175;4845525;0;0;0;194143;59610;269372;2432008;207396;264739;524489;400280;2714;269699;438533;4895474;2432008;3285649;27788;14719;2911196;5938945;1409;1311434;2668;4615580;69592;2960734;4393
57;0;277627;30838;7627549;3162208;0;26694837;0;1164335;3873046;21902674;50481;1028476;259405;2384239;0;0;0;0;59718;89142;1531294;156876;134056;453014;207735;2016;89142;162451;2196996;1531294;3026088;5248;1349;1240894;3455329;1917;705176;3291;2954000;183572;3286106;5147
58;0;958519;105472;1392711;894645;0;7962878;0;0;919113;5896626;17544;54232;6097;381546;0;0;0;0;4795;5556;182147;42738;6062;64345;4627;0;5556;0;1447;182147;280067;15465;18943;351400;1540280;0;104902;0;198669;2203;238366;4918
59;0;199389;18912;435233;535073;0;4770391;0;0;222380;3446117;73737;20749;3203;951858;0;0;0;0;41464;0;55497;26828;1027;35663;4024;455;0;0;0;55497;132195;3948;0;176840;1400932;0;48377;998;105976;555;124451;1025
60;0;372612;60763;9403636;4747282;0;34245727;0;3579242;2884464;21090148;60731;1702860;44529;5557365;0;0;0;0;50323;92635;2785759;74897;130362;487710;302968;159;92635;1376;48945;2785759;7704404;32780;2600;745736;1468849;1009;1076399;5949;2780888;126424;2286768;1676
61;0;501681;458440;34055;4769;0;42700;0;0;13563;528764;38015;19090;2577;71423;0;2559;80837;0;34181;0;19950;1415;359;13105;594;1261;0;0;0;19950;34514;7612;0;40222;41362;0;0;202;16399;0;14301;7031
62;0;238758;35112;912610;455337;0;4049382;0;316042;767838;3977697;22616;48831;0;293384;0;0;0;0;0;7841;149353;16264;15891;67670;39103;0;7841;37068;93796;149353;263988;1075;0;171637;729991;0;30079;0;152170;28142;115013;2306
63;0;2058120;714831;23512765;8332702;0;72971515;0;1512105;10187273;102566989;575944;1328561;240037;7068477;0;0;0;260932;265584;243605;2633588;252604;281649;800134;584176;9174;244027;626728;2770513;2633588;2757143;28118;32180;3184220;14663345;1217;927773;4007;1430395;90774;2755958;30176
64;0;133955;13074;1581203;683463;0;5554341;0;124018;731035;5439806;43978;24161;14248;649697;0;0;0;0;29667;70730;269128;80369;13706;74677;14129;0;70730;22942;231344;269128;487156;4677;9686;650869;1455002;0;82780;674;335626;2056;5336;16160
