"zone","mass_grand_t_10m2","mass_building_dcmix_hr","mass_building_dcmix_lr","mass_building_dcmix_mr","mass_building_irh","mass_building_light","mass_building_sdr_hr","mass_building_sdr_lr","mass_building_sdr_mr","mass_building_sky","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_cycleway","mass_street_footway","mass_street_gravel","mass_street_living_street","mass_street_motorway_elevated","mass_street_motorway_link","mass_street_motorway","mass_street_other_elevated","mass_street_other","mass_street_pedestrian","mass_street_primary_link","mass_street_primary","mass_street_residential","mass_street_secondary_link","mass_street_secondary","mass_street_tertiary_link","mass_street_tertiary","mass_street","mass_street_trunk_link","mass_street_trunk","mass_street_tunnel"
338,33526564,157922.421875,58110.94140625,432118.4375,1476268.5,790799.21875,43462.1772460938,7296136,3677477,0,13932290,17772.3828125,775713.75,4490463,5283949.5,60128.466796875,9839.03369140625,387541.328125,0,0,0,463940.546875,290.414855957031,6141.55126953125,13638.439453125,1558425.125,28069.9521484375,78823.099609375,41415.5087890625,0,0,0,8404.5673828125,14114.0107421875,2320821.3125,0,0,1051218.15625,3389810.75,0,1146682.5625,0,2328745.15625,13846372.5,249569.515625,1616178.15625,449.208450317383
339,22799102,0,1866.47814941406,141944.5625,1179981.375,601037.25,5884.3173828125,5845356.5,2067562.625,0,9843644,0,780520.6875,3336171.25,4116689,38859.29296875,6838.28466796875,141700.09375,0,0,0,208056.46875,0,20659.103515625,0,1021025,12881.232421875,40658.609375,71472.1796875,0,0,0,0,9914.5205078125,1491474.375,3017.48266601562,0,806739.375,2578396.5,0,760708.3125,0,992137.4375,8630734,101143.9453125,730252.4375,10908.6767578125
340,63914772.9516602,23032.4609375,56231.419921875,1028270.84375,2392882.85105896,1452285.0552597,9157.0263671875,12587573.1220093,6708032.18481445,0,24257446.7783813,103695.146484375,788735.467102051,5845699.37060547,6738136.73956299,141291.496582031,6112.2490234375,344585.515625,0,0,0,532762.6640625,0,40773.322265625,138919.6796875,8161026.11816406,6539.18127441406,120536.750488281,347280.427719116,0,0,0,0,25987.1691589355,4874269.36132812,3757.94445800781,0,2534691.46875,3162184.9609375,0,4070434.05456543,0,6987602.53417969,32386484.2382812,3413.60754394531,1937660.6133728,12152.2751464844
341,106117152,2310488,234764.078125,12753416,6190566,1799342.75,205620.078125,17889588,22172524,0,63556240,834784,4473384,13760009,19068174,246120.984375,0,566082.4375,0,0,0,1135402.375,106825.9296875,216373.390625,108818.4453125,1954773,74092.75,259057.875,57370.17578125,5044.150390625,13353.431640625,101392.125,345907.90625,38559.875,3669182.25,73512.375,80869.7265625,1276920.875,10836217,668.125427246094,423523.375,8144.8857421875,2156392.25,22357376,241690.34375,603070.125,28825.01953125
342,44824760,164136.921875,341804.563232422,1279607.07324219,3253766.06640625,978444.57421875,1051.88940429688,9698124.15625,3643453.7265625,0,19360389.84375,0,1171589.8024292,9982795.3125,11154396.5625,101511.501800537,53030.64453125,353183.994384766,0,0,0,568301.769592285,0,60574.95703125,311660.59375,1321905.359375,15990.904296875,41060.6276855469,24365.224609375,978.893676757812,31533.1796875,221678.203125,1147666.375,11196.8929290771,2297210.625,25607.5388793945,8813.3544921875,1350326.28820801,5053032.8203125,0,907396.825836182,371.504608154297,857543.90234375,13741714.53125,30964.40625,63535.6875,18866.771484375
343,67166223.78125,8001.666015625,42513.1712036133,1218473.87011719,2799703.61479187,1629033.61254883,17248.0913085938,14868495.015625,6362185.41601562,0,26945611.828125,337645.4375,1147807.1328125,9490859.22851562,10976291.8535156,235293.039550781,6878.275390625,1026186.40234375,0,0,0,1454105.36328125,0,185750.3125,277995.8125,4958630.93164062,38021.921875,142484.308410645,389030.866210938,7995.4013671875,39123.73828125,259764.96875,1704508.125,29139.5001831055,4900184.85742188,6189.94677734375,4039.67065429688,2607692.3125,3582717.73535156,0,2145403.95117188,1294.77990722656,3322045.25,27790281.796875,228352.65625,3145324.5,345.181243896484
344,33471503.4038086,2145.74951171875,34595.453125,618695.0625,1452104.875,763084.209999085,2166.7744140625,7215534.18170166,3078636,0,13166942.3916626,34921.0390625,1226451.5,3720269.88757324,4981642.88757324,131344.625,1263.18139648438,331090.375,0,0,0,507049.1875,0,43349.8828125,19126.041015625,2237629.75,23272.59375,65664.46875,288599.1875,0,9502.1279296875,88557.125,1020238.22167969,16574.943359375,3066035.84124756,16651.791015625,1775.16455078125,1881150.125,2433787,7545.1552734375,904534.3125,0,616716.1875,14815798.125,47217.66015625,2070638.25,548.507141113281
345,46698992,45466.03515625,199569.140625,826332.8125,4545238.5,1105638.625,8306.5263671875,10910479,4771054,0,22412108,13309.0947265625,1919017.25,7130568.5,9062901,127550.015625,2349.16088867188,494425.0625,0,0,0,660057.0625,0,35734.1953125,84356.46875,1454973.5,70625.859375,84710.4140625,22942.63671875,0,11909.0576171875,95663.7265625,1167710.375,16875.9609375,2259199,9108.0830078125,62953.2578125,1664833.875,5684568.5,1667.2060546875,765090.625,0,1093240.75,14563989,0,0,13551.919921875
346,8656580.625,3762.7392578125,11316.6011962891,204452.954345703,358422.918457031,190843.67578125,1358.73168945312,1873177.703125,908114,0,3551447.21875,0,211666.6328125,1170388.109375,1382054.0625,45567.515625,359.326843261719,284355.359375,0,0,0,332871.296875,0,2589.2509765625,0,313275.2734375,18144.8828125,4396.85321044922,21495.66796875,0,0,0,0,2575.77990722656,438817.8828125,516.601501464844,0,291396.02734375,1138921.05810547,0,124473.416015625,0,395687.5546875,3390199.875,0,635685.125,4818.35205078125
347,19157451.75,103385.25,95169.8627929688,646760.764160156,1295083.35351562,447439.267578125,24141.470703125,4426038.71875,2557570.74609375,0,9595593.6875,6805.61767578125,613826.023742676,3366125.4921875,3986757.9609375,55127.9970703125,713.731323242188,157284.821289062,0,0,0,271927.359375,0,58800.9189453125,0,674813.304199219,13024.9946289062,14941.3422851562,2687.68017578125,0,0,0,0,13498.6282958984,839921.25,4906.39074707031,23998.5587768555,618120.0390625,2221390.20776367,0,48114.3422851562,0,236895.966796875,5303186.22851562,65958.953125,515831.71875,9083.4677734375
